ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
12907,Eldath,Eldath,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00006),,,,,1005383,,
12908,Leira,Leira,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00007),,,,,1005383,,
12909,Uenuku,Uenuku,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00008),,,,,1005383,,
12910,Tangaloa,Tangaloa,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00009),,,,,1005383,,
12911,SpaceTuna,SpaceTuna,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00010),,,,,1005383,,
12912,Thassa,Thassa,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00011),,,,,1005383,,
12913,Erebos,Erebos,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00012),,,,,1005383,,
12914,Thaddeus,Thaddeus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00013),,,,,1005383,,
12915,Lucidonius,Lucidonius,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00014),,,,,1005383,,
12916,Bertha,Bertha,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00015),,,,,1005383,,
12917,Pontus,Pontus,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00016),,,,,1005383,,
12918,McAsteroidface,McAsteroidface,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00017),,,,,1005383,,
12919,Purphoros,Purphoros,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00018),,,,,1005383,,
12920,Akira,Akira,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00019),,,,,1005383,,
12921,Sprouts,Sprouts,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00020),,,,,1005383,,
12922,Dust2,Dust2,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00021),,,,,1005383,,
12923,Dansimmons,Dansimmons,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00022),,,,,1005383,,
12924,Seldon,Seldon,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00023),,,,,1005383,,
12925,Crichton,Crichton,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00024),,,,,1005383,,
12926,Sargon,Sargon,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00025),,,,,1005383,,
12927,Chimera,Chimera,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00026),,,,,1005383,,
12928,Hedoran,Hedoran,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00027),,,,,1005383,,
12929,Palua,Palua,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00028),,,,,1005383,,
12930,Dottie,Dottie,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00029),,,,,1005383,,
12931,Chicxulub,Chicxulub,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00030),,,,,1005383,,
12932,Gargantua,Gargantua,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00031),,,,,1005383,,
12933,Bousier,Bousier,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00032),,,,,1005383,,
12934,Basaguel,Basaguel,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00033),,,,,1005383,,
12935,Maulija,Maulija,,,OK,,,,,Trunk\Mars/Dlc/picard/Code/AsteroidNames.lua(00034),,,,,1005383,,
